text,lang,source
Zelensky guarded on Tomahawk missile talks with Trump after White House meeting,en,https://www.bbc.com/news
Prince Andrew gives up his title as Duke of York,en,https://www.bbc.com/news
'Have a great life!' Trump orders prison release of disgraced ex-lawmaker George Santos,en,https://www.bbc.com/news
BBC questions Trump on Ukraine at Zelensky meeting,en,https://www.bbc.com/news
US captures two survivors after attack on Venezuela 'drug sub',en,https://www.bbc.com/news
Prince Andrew gives up his title as Duke of York,en,https://www.bbc.com/news
"A lucky cat, a tattered football: The things Gazans kept close during two years of war",en,https://www.bbc.com/news
Can Putin's 'Flying Kremlin' travel through EU airspace to Budapest?,en,https://www.bbc.com/news
Grand Sumo in London? An ancient sport finds new fans far beyond Japan,en,https://www.bbc.com/news
'Have a great life!' Trump orders prison release of disgraced ex-lawmaker George Santos,en,https://www.bbc.com/news
Mystery heatwave warms Pacific Ocean to new record,en,https://www.bbc.com/news
Salesforce CEO apologises for saying Trump should send troops to San Francisco,en,https://www.bbc.com/news
Customers sue over 'embarrassing' squeaky On Cloud shoes,en,https://www.bbc.com/news
"Red Cross retrieves another body of dead hostage in Gaza, Israel says",en,https://www.bbc.com/news
Smuggler jailed for 40 years after shipping ballistic missiles parts from Iran,en,https://www.bbc.com/news
How CIA deployment gives Trump no 'limitations' on Venezuela action,en,https://www.bbc.com/news
"Buying more, wearing less - why India's Diwali gold rush is different",en,https://www.bbc.com/news
Reese Witherspoon on writing a thriller: 'What do girls in bikinis have to do with solving crime?',en,https://www.bbc.com/news
How would US Tomahawk missiles change the Ukraine-Russia war?,en,https://www.bbc.com/news
'We have to prioritise South Africans': Anti-migrant movement blocks foreigners from healthcare,en,https://www.bbc.com/news
"Buying more, wearing less - why India's Diwali gold rush is different",en,https://www.bbc.com/news
"After all those scandals, why did Andrew quit his titles now?",en,https://www.bbc.com/news
'It's scary to think I could have died': How Americans are coming back from fentanyl addiction,en,https://www.bbc.com/news
Reese Witherspoon on writing a thriller: 'What do girls in bikinis have to do with solving crime?',en,https://www.bbc.com/news
How would US Tomahawk missiles change the Ukraine-Russia war?,en,https://www.bbc.com/news
BBC questions Trump on Ukraine at Zelensky meeting,en,https://www.bbc.com/news
Woman's rare cancer found after Butlin's holiday injury,en,https://www.bbc.com/news
Watch: Moment grain silo collapses in Illinois,en,https://www.bbc.com/news
'I just wanted to give Prince William a big cwtch',en,https://www.bbc.com/news
Euphoria confirms new cast members for season three,en,https://www.bbc.com/news
UK government 'doing everything' to overturn Maccabi Tel Aviv fan ban,en,https://www.bbc.com/news
Landmark deal to cut global shipping emissions in tatters after US pressure,en,https://www.bbc.com/news
Polish judge refuses to extradite Ukrainian Nord Stream blasts suspect,en,https://www.bbc.com/news
Chinese Communist Party expels top generals in sweeping military crackdown,en,https://www.bbc.com/news
UK government 'doing everything' to overturn Maccabi Tel Aviv fan ban,en,https://www.bbc.com/news
US captures two survivors after attack on Venezuela 'drug sub',en,https://www.bbc.com/news
OpenAI stops 'disrespectful' Martin Luther King Jr deepfakes,en,https://www.bbc.com/news
Landmark deal to cut global shipping emissions in tatters after US pressure,en,https://www.bbc.com/news
'Have a great life!' Trump orders prison release of disgraced ex-lawmaker Santos,en,https://www.bbc.com/news
Prince Andrew gives up his title as Duke of York,en,https://www.bbc.com/news
"Baek Se-hee, author of I Want To Die But I Want To Eat Tteokbokki, dies at 35",en,https://www.bbc.com/news
Zelensky guarded on Tomahawk missile talks with Trump after White House meeting,en,https://www.bbc.com/news
US governor wins $1.4m playing blackjack in Las Vegas,en,https://www.bbc.com/news
Can Putin's 'Flying Kremlin' travel through EU airspace to Budapest?,en,https://www.bbc.com/news
"After all those scandals, why did Andrew quit his titles now?",en,https://www.bbc.com/news
Mystery heatwave warms Pacific Ocean to new record,en,https://www.bbc.com/news
Ten-year-old Palestinian boy shot dead by Israeli forces in West Bank,en,https://www.bbc.com/news
Chinese Communist Party expels top generals in sweeping military crackdown,en,https://www.bbc.com/news
Is writing already on the wall for Postecoglou at Forest?,en,https://www.bbc.com/news
Verstappen takes US sprint pole from Norris,en,https://www.bbc.com/news
Potter in talks to become Sweden boss,en,https://www.bbc.com/news
I can't bank on three years at Man Utd - Amorim,en,https://www.bbc.com/news
Usyk targeting 2026 return but rules out Itauma,en,https://www.bbc.com/news
Verstappen takes US sprint pole from Norris,en,https://www.bbc.com/news
Government 'doing everything' to overturn Maccabi Tel Aviv fan ban,en,https://www.bbc.com/news
Potter in talks to become Sweden boss,en,https://www.bbc.com/news
"Following the meeting, Trump calls for Kyiv and Moscow to ""stop where they are"" and end the war.",en,https://www.bbc.com/news
"The prince said he had made the decision because ""continued accusations about me distract from the work"" of the Royal Family.",en,https://www.bbc.com/news
"George Santos was jailed for seven years for stealing identities, including from members of his own family.",en,https://www.bbc.com/news
The BBC's Bernd Debusmann Jr and Myroslava Petsa were in the room with Trump and Zelensky for talks on Russia's war against Ukraine.,en,https://www.bbc.com/news
"Two people were rescued by helicopter and are being held on a US Navy ship, according to US media.",en,https://www.bbc.com/news
"The prince said he had made the decision because ""continued accusations about me distract from the work"" of the Royal Family.",en,https://www.bbc.com/news
The BBC speaks to Palestinians about the keepsakes and essentials they have held on to.,en,https://www.bbc.com/news
